Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
The Bourne Ultimatum,"Action, Mystery, Thriller",0.23529411764705888,0.7916666666666667,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,Paul Greengrass,action mystery thriller jason bourne dodge ruthless cia official agent new assassination program searching origin life trained killer matt damon paul greengrass
Bin-jip,"Crime, Drama, Romance",0.23529411764705888,0.6111111111111112,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,Ki-duk Kim,crime drama romance transient young man break empty home partake vacationing resident life day seungyun lee kiduk kim
Sin City,"Crime, Thriller",0.23529411764705888,0.6388888888888888,"A movie that explores the dark and miserable town, Basin City, tells the story of three different people, all caught up in violent corruption.",Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,Frank Miller,crime thriller movie explores dark miserable town basin city tell story three different people caught violent corruption quentin tarantino frank miller
Le scaphandre et le papillon,"Biography, Drama",0.23529411764705888,0.8888888888888888,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,Julian Schnabel,biography drama true story elle editor jeandominique bauby suffers stroke live almost totally paralyzed body left eye isnt paralyzed laura obiols julian schnabel
Ratatouille,"Animation, Adventure, Comedy",0.23529411764705888,0.9444444444444444,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,Brad Bird,animation adventure comedy rat cook make unusual alliance young kitchen worker famous restaurant jan pinkava brad bird
Casino Royale,"Action, Adventure, Thriller",0.23529411764705888,0.7222222222222223,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Martin Campbell,action adventure thriller earning 00 status licence kill secret agent james bond set first mission 007 bond must defeat private banker funding terrorist highstakes game poker casino royale montenegro daniel craig martin campbell
Kill Bill: Vol. 2,"Action, Crime, Thriller",0.23529411764705888,0.7638888888888888,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,Quentin Tarantino,action crime thriller bride continues quest vengeance former bos lover bill reclusive bouncer budd treacherous oneeyed elle uma thurman quentin tarantino
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"Drama, Romance",0.23529411764705888,0.7916666666666667,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,Ki-duk Kim,drama romance boy raised buddhist monk isolated floating temple year pas like season kiduk kim kiduk kim
Mar adentro,"Biography, Drama",0.23529411764705888,0.6388888888888888,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,Alejandro Amenábar,biography drama factual story spaniard ramon sampedro fought thirtyyear campaign favor euthanasia right die javier bardem alejandro amenábar
Cinderella Man,"Biography, Drama, History",0.23529411764705888,0.5694444444444444,"The story of James J. Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s.",Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,Ron Howard,biography drama history story james j braddock supposedly washedup boxer came back become champion inspiration 1930s russell crowe ron howard
Kal Ho Naa Ho,"Comedy, Drama, Musical",0.23529411764705888,0.36111111111111116,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.",Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,Nikkhil Advani,comedy drama musical naina introverted perpetually depressed girl life change meet aman aman secret change life forever embroiled rohit nainas best friend conceals love preity zinta nikkhil advani
Mou gaan dou,"Action, Crime, Drama",0.23529411764705888,0.6527777777777777,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,Andrew Lau,action crime drama story mole police department undercover cop objective find mole cop alan mak andrew lau
Pirates of the Caribbean: The Curse of the Black Pearl,"Action, Adventure, Fantasy",0.23529411764705888,0.48611111111111116,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,Gore Verbinski,action adventure fantasy blacksmith turner team eccentric pirate captain jack sparrow save love governor daughter jack former pirate ally undead johnny depp gore verbinski
Big Fish,"Adventure, Drama, Fantasy",0.23529411764705888,0.41666666666666663,A frustrated son tries to determine the fact from fiction in his dying father's life.,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,Tim Burton,adventure drama fantasy frustrated son try determine fact fiction dying father life ewan mcgregor tim burton
The Incredibles,"Animation, Action, Adventure",0.23529411764705888,0.8611111111111112,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,Brad Bird,animation action adventure family undercover superheroes trying live quiet suburban life forced action save world craig nelson brad bird
Dogville,"Crime, Drama",0.23529411764705888,0.4444444444444444,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,Lars von Trier,crime drama woman run mob reluctantly accepted small colorado community exchange labor search visit town find support price nicole kidman lars von trier
Donnie Darko,"Drama, Mystery, Sci-Fi",0.23529411764705888,0.8333333333333333,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,Richard Kelly,drama mystery scifi narrowly escaping bizarre accident troubled teenager plagued vision man large rabbit suit manipulates commit series crime jake gyllenhaal richard kelly
Magnolia,Drama,0.23529411764705888,0.6805555555555556,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,Paul Thomas Anderson,drama epic mosaic interrelated character search love forgiveness meaning san fernando valley tom cruise paul thomas anderson
Dancer in the Dark,"Crime, Drama, Musical",0.23529411764705888,0.45833333333333337,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",Björk,Catherine Deneuve,David Morse,Peter Stormare,Lars von Trier,crime drama musical east european girl travel united state young son expecting like hollywood film björk lars von trier
The Straight Story,"Biography, Drama",0.23529411764705888,0.8055555555555556,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,David Lynch,biography drama old man make long journey lawnmower mend relationship ill brother richard farnsworth david lynch
Festen,Drama,0.23529411764705888,0.75,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,Thomas Vinterberg,drama helges 60th birthday party unpleasant family truth revealed ulrich thomsen thomas vinterberg
Central do Brasil,Drama,0.23529411764705888,0.7222222222222223,"An emotive journey of a former school teacher, who writes letters for illiterate people, and a young boy, whose mother has just died, as they search for the father he never knew.",Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,Walter Salles,drama emotive journey former school teacher writes letter illiterate people young boy whose mother died search father never knew fernanda montenegro walter salles
The Iron Giant,"Animation, Action, Adventure",0.23529411764705888,0.7916666666666667,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,Brad Bird,animation action adventure young boy befriends giant robot outer space paranoid government agent want destroy eli marienthal brad bird
Sling Blade,Drama,0.23529411764705888,0.7777777777777777,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,Billy Bob Thornton,drama karl childers simple man hospitalized since childhood murder mother lover released start new life small town billy bob thornton billy bob thornton
Secrets & Lies,"Comedy, Drama",0.23529411764705888,0.875,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,Mike Leigh,comedy drama following death adoptive parent successful young black optometrist establishes contact biological mother lonely white factory worker living poverty east london timothy spall mike leigh
