Title,Genre,Rating,Score,Overview,Star1,Star2,Star3,Star4,Director,metadata
The Blind Side,"Biography, Drama, Sport",0.0,0.3472222222222222,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Quinton Aaron,Sandra Bullock,Tim McGraw,Jae Head,John Lee Hancock,biography drama sport story michael oher homeless traumatized boy became allamerican football player firstround nfl draft pick help caring woman family quinton aaron john lee hancock
The Visitor,Drama,0.0,0.7083333333333333,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Richard Jenkins,Haaz Sleiman,Danai Gurira,Hiam Abbass,Tom McCarthy,drama college professor travel new york city attend conference find young couple living apartment richard jenkins tom mccarthy
Seven Pounds,Drama,0.0,0.11111111111111116,A man with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,Will Smith,Rosario Dawson,Woody Harrelson,Michael Ealy,Gabriele Muccino,drama man fateful secret embarks extraordinary journey redemption forever changing life seven stranger smith gabriele muccino
Eastern Promises,"Action, Crime, Drama",0.0,0.75,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,Naomi Watts,Viggo Mortensen,Armin Mueller-Stahl,Josef Altin,David Cronenberg,action crime drama teenager dy childbirth leaf clue journal could tie child rape involving violent russian mob family naomi watt david cronenberg
Stardust,"Adventure, Family, Fantasy",0.0,0.5277777777777778,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",Charlie Cox,Claire Danes,Sienna Miller,Ian McKellen,Matthew Vaughn,adventure family fantasy countryside town bordering magical land young man make promise beloved hell retrieve fallen star venturing magical realm charlie cox matthew vaughn
Inside Man,"Crime, Drama, Mystery",0.0,0.6666666666666667,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,Spike Lee,crime drama mystery police detective bank robber highpower broker enter highstakes negotiation criminal brilliant heist spiral hostage situation denzel washington spike lee
Gone Baby Gone,"Crime, Drama, Mystery",0.0,0.6111111111111112,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Morgan Freeman,Ed Harris,Casey Affleck,Michelle Monaghan,Ben Affleck,crime drama mystery two boston area detective investigate little girl kidnapping ultimately turn crisis professionally personally morgan freeman ben affleck
La Vie En Rose,"Biography, Drama, Music",0.0,0.5277777777777778,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Marion Cotillard,Sylvie Testud,Pascal Greggory,Emmanuelle Seigner,Olivier Dahan,biography drama music biopic iconic french singer édith piaf raised grandmother brothel discovered singing street corner age 19 despite success piaf life filled tragedy marion cotillard olivier dahan
Huo Yuan Jia,"Action, Biography, Drama",0.0,0.5833333333333334,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",Jet Li,Li Sun,Yong Dong,Yun Qu,Ronny Yu,action biography drama biography chinese martial art master huo yuanjia founder spiritual guru jin wu sport federation jet li ronny yu
The Illusionist,"Drama, Fantasy, Mystery",0.0,0.5555555555555556,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",Edward Norton,Jessica Biel,Paul Giamatti,Rufus Sewell,Neil Burger,drama fantasy mystery turnofthecentury vienna magician us ability secure love woman far social standing edward norton neil burger
Harry Potter and the Half-Blood Prince,"Action, Adventure, Family",0.0,0.6944444444444444,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,David Yates,action adventure family harry potter begin sixth year hogwarts discovers old book marked property halfblood prince begin learn lord voldemorts dark past daniel radcliffe david yates
300,"Action, Drama",0.0,0.33333333333333337,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,Gerard Butler,Lena Headey,David Wenham,Dominic West,Zack Snyder,action drama king leonidas sparta force 300 men fight persian thermopylae 480 bc gerard butler zack snyder
Match Point,"Drama, Romance, Thriller",0.0,0.6111111111111112,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",Scarlett Johansson,Jonathan Rhys Meyers,Emily Mortimer,Matthew Goode,Woody Allen,drama romance thriller turning point life former tennis pro fall actress happens dating friend soontobe brotherinlaw scarlett johansson woody allen
Watchmen,"Action, Drama, Mystery",0.0,0.38888888888888884,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Jackie Earle Haley,Patrick Wilson,Carla Gugino,Malin Akerman,Zack Snyder,action drama mystery 1985 former superheroes exist murder colleague sends active vigilante rorschach sprawling investigation uncovering something could completely change course history know jackie earle haley zack snyder
Lord of War,"Action, Crime, Drama",0.0,0.4722222222222222,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,Nicolas Cage,Ethan Hawke,Jared Leto,Bridget Moynahan,Andrew Niccol,action crime drama arm dealer confronts morality work chased interpol agent nicolas cage andrew niccol
Saw,"Horror, Mystery, Thriller",0.0,0.25,"Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",Cary Elwes,Leigh Whannell,Danny Glover,Ken Leung,James Wan,horror mystery thriller two stranger awaken room recollection got soon discover theyre pawn deadly game perpetrated notorious serial killer cary elwes james wan
"Synecdoche, New York",Drama,0.0,0.5416666666666666,"A theatre director struggles with his work, and the women in his life, as he creates a life-size replica of New York City inside a warehouse as part of his new play.",Philip Seymour Hoffman,Samantha Morton,Michelle Williams,Catherine Keener,Charlie Kaufman,drama theatre director struggle work woman life creates lifesize replica new york city inside warehouse part new play philip seymour hoffman charlie kaufman
